title,year,genres,budget,worldwide_gross,domestic_gross,opening_weekend
"Moana",2016,"Animation,Adventure,Comedy",150000000,643331111,248757044,56626958
"Doctor Strange in the Multiverse of Madness",2022,"Action,Adventure,Fantasy",200000000,955775804,411331607,187420998
"Batman v Superman: Dawn of Justice",2016,"Action,Adventure,Sci-Fi",250000000,873637528,330360194,166007347
"Logan",2017,"Action,Drama,Sci-Fi",97000000,619021436,226277068,88411916
"Deadpool",2016,"Action,Adventure,Comedy",58000000,782836791,363070709,132434639
"Deadpool & Wolverine",2024,"Action,Adventure,Comedy",200000000,1338073645,636706492,211435291
"Mission: Impossible - Dead Reckoning Part One",2023,"Action,Adventure,Thriller",291000000,570574040,172135383,54690945
"Dune",2021,"Action,Adventure,Drama",165000000,407564178,108327830,40119888
"Dune: Part Two",2024,"Action,Adventure,Drama",190000000,714444358,282144358,82500000
"The Batman",2022,"Action,Crime,Drama",185000000,770962583,369345583,134008624
"No Time to Die",2021,"Action,Adventure,Thriller",250000000,774153007,160916517,55225007
"Black Panther: Wakanda Forever",2022,"Action,Adventure,Drama",250000000,859208836,453829060,181339761
"John Wick: Chapter 4",2023,"Action,Crime,Thriller",100000000,440157655,187131806,73817950
"Wonder Woman",2017,"Action,Adventure,Fantasy",149000000,822854286,412563408,103251471
"Shang-Chi and the Legend of the Ten Rings",2021,"Action,Adventure,Fantasy",150000000,432243292,224543292,75388688
"Eternals",2021,"Action,Adventure,Fantasy",200000000,402064899,164870234,71297237
"Thor: Love and Thunder",2022,"Action,Adventure,Comedy",250000000,760928081,343256830,144165107
"Spider-Man: Homecoming",2017,"Action,Adventure,Sci-Fi",175000000,880166924,334201140,117027503
"Jurassic World: Fallen Kingdom",2018,"Action,Adventure,Sci-Fi",170000000,1308467944,416769345,148024610
"Jurassic World Dominion",2022,"Action,Adventure,Sci-Fi",185000000,1001036050,376009080,145075625
"Inception",2010,"Action,Adventure,Sci-Fi",160000000,836836967,292576195,62785337
"Interstellar",2014,"Adventure,Drama,Sci-Fi",165000000,701729206,188020017,47510360
"The Hunger Games: Catching Fire",2013,"Action,Adventure,Sci-Fi",130000000,865011746,424668047,158074286
"The Hunger Games",2012,"Action,Adventure,Sci-Fi",78000000,694394724,408010692,152535747
"Gravity",2013,"Drama,Sci-Fi,Thriller",100000000,723192705,274092705,55785112
"The Martian",2015,"Adventure,Drama,Sci-Fi",108000000,630161890,228433663,54308575
"Mad Max: Fury Road",2015,"Action,Adventure,Sci-Fi",150000000,374733942,153636875,45428128
"Dunkirk",2017,"Action,Drama,History",100000000,526940665,190050172,50513488
"1917",2019,"Drama,War",95000000,384631553,159227644,36510963
"Parasite",2019,"Comedy,Drama,Thriller",11400000,266800000,53369749,376264
"Everything Everywhere All at Once",2022,"Action,Adventure,Comedy",25000000,141280000,77191142,567531
"RRR",2022,"Action,Adventure,Drama",72000000,260000000,14693000,9500000
"Baahubali: The Beginning",2015,"Action,Adventure,Drama",25000000,270000000,6600000,2100000
"Baahubali 2: The Conclusion",2017,"Action,Adventure,Drama",38000000,311000000,20800000,5900000
"Dangal",2016,"Action,Biography,Drama",11000000,311000000,12400000,3200000
"PK",2014,"Comedy,Drama,Fantasy",11400000,140000000,10600000,2800000
"3 Idiots",2009,"Comedy,Drama",6600000,73000000,6500000,1500000
"KGF: Chapter 2",2022,"Action,Drama,Thriller",18000000,173000000,12000000,3400000
"Pathaan",2023,"Action,Thriller",64000000,161000000,20000000,5600000
"Jawan",2023,"Action,Drama,Thriller",70000000,148000000,14000000,4200000
"War",2019,"Action,Thriller",45000000,82000000,22500000,5200000
"Bajrangi Bhaijaan",2015,"Action,Adventure,Comedy",22500000,143000000,11300000,3100000
"Sultan",2016,"Action,Drama,Romance",26000000,85000000,13800000,3700000
"Sanju",2018,"Biography,Comedy,Drama",25000000,75000000,13000000,3500000
"Padmaavat",2018,"Action,Drama,History",24000000,87000000,7500000,2100000
"The Super Mario Bros. Movie",2023,"Animation,Adventure,Comedy",100000000,1362318415,574934330,146361865
"Wonka",2023,"Adventure,Comedy,Family",125000000,634364661,218377845,39000000
"Godzilla Minus One",2023,"Action,Adventure,Drama",15000000,115000000,57100000,11000000
"Killers of the Flower Moon",2023,"Crime,Drama,History",200000000,157340000,67330000,23200000
"Napoleon",2023,"Action,Adventure,Biography",200000000,220700000,61500000,20500000
"Poor Things",2023,"Comedy,Drama,Romance",35000000,117846000,34900000,960000
"The Iron Claw",2023,"Biography,Drama,Sport",18000000,42200000,38300000,4900000
"Elemental",2023,"Animation,Adventure,Comedy",200000000,496400000,154400000,29500000
"Fast X",2023,"Action,Adventure,Crime",340000000,714747624,145960660,67017410
"Transformers: Rise of the Beasts",2023,"Action,Adventure,Sci-Fi",195000000,439000000,157066392,61045909
"Indiana Jones and the Dial of Destiny",2023,"Action,Adventure,Fantasy",300000000,384100000,174480468,60368101
"The Flash",2023,"Action,Adventure,Fantasy",220000000,271328100,108136000,55043000
"Ant-Man and the Wasp: Quantumania",2023,"Action,Adventure,Comedy",200000000,476068822,214504909,106109650
"Creed III",2023,"Drama,Sport",75000000,275150000,156248137,58370000
"Scream VI",2023,"Horror,Mystery,Thriller",35000000,168961389,108161389,44500000
"John Wick: Chapter 3",2019,"Action,Crime,Thriller",75000000,326709727,171015687,56884000
"Once Upon a Time in Hollywood",2019,"Comedy,Drama",90000000,374574486,142502928,41082018
"Knives Out",2019,"Comedy,Crime,Drama",40000000,311400000,165360000,26769000
"1917",2019,"Drama,War",95000000,384631553,159227644,36510963
"Ford v Ferrari",2019,"Action,Biography,Drama",97600000,225508202,117624357,31459934
"Uncut Gems",2019,"Crime,Drama,Thriller",19000000,50023780,50023780,525000
"Bohemian Rhapsody",2018,"Biography,Drama,Music",52000000,903655259,216428042,51061228
"A Star Is Born",2018,"Drama,Music,Romance",36000000,436421198,215288866,42908051
"It",2017,"Horror,Thriller",35000000,704243831,327481748,123403419
"Get Out",2017,"Horror,Mystery,Thriller",4500000,255457078,176040665,33377060
"La La Land",2016,"Comedy,Drama,Music",30000000,446092357,151101803,881104
"Moana 2",2024,"Animation,Adventure,Comedy",150000000,1000000000,449700000,221000000
"Gladiator II",2024,"Action,Adventure,Drama",250000000,451695552,165500000,55500000
"Wicked",2024,"Drama,Fantasy,Musical",150000000,700000000,428000000,114200000
"A Quiet Place: Day One",2024,"Drama,Horror,Sci-Fi",67000000,261440000,139000000,52000000
"Furiosa: A Mad Max Saga",2024,"Action,Adventure,Sci-Fi",168000000,173400000,67000000,31500000
"Alien: Romulus",2024,"Horror,Sci-Fi,Thriller",80000000,350200000,105200000,42500000
"Beetlejuice Beetlejuice",2024,"Comedy,Fantasy,Horror",100000000,451100000,294000000,110000000
"Despicable Me 4",2024,"Animation,Adventure,Comedy",100000000,967700000,361000000,122600000
"Kung Fu Panda 4",2024,"Animation,Action,Adventure",85000000,547568899,193566395,58499208
"Godzilla x Kong: The New Empire",2024,"Action,Adventure,Sci-Fi",135000000,571800000,196000000,80000000
"Twisters",2024,"Action,Adventure,Drama",155000000,369600000,268000000,81500000
"Venom: The Last Dance",2024,"Action,Adventure,Sci-Fi",120000000,475000000,139000000,51300000
"It Ends with Us",2024,"Drama,Romance",25000000,351900000,150600000,50000000
"The Wild Robot",2024,"Animation,Adventure,Drama",78000000,324800000,143600000,35000000
"Ne Zha 2",2025,"Animation,Fantasy,Action",80000000,2259822417,25000000,300000000
"Captain America: Brave New World",2025,"Action,Adventure,Sci-Fi",250000000,402000000,186000000,86000000
"Companion",2025,"Horror,Sci-Fi,Thriller",15000000,50000000,35000000,12000000
"Mufasa: The Lion King",2024,"Adventure,Animation,Drama",200000000,591400000,221500000,35400000
"Sonic the Hedgehog 3",2024,"Action,Adventure,Comedy",122000000,488400000,235000000,62000000
"Harry Potter and the Sorcerer's Stone",2001,"Adventure,Family,Fantasy",125000000,1002000000,317600000,90295000
"The Lord of the Rings: The Return of the King",2003,"Action,Adventure,Drama",94000000,1146030000,377000000,72630000
"The Lord of the Rings: The Two Towers",2002,"Action,Adventure,Drama",94000000,947495000,342600000,62008000
"The Lord of the Rings: The Fellowship of the Ring",2001,"Action,Adventure,Drama",93000000,888159092,316000000,47211490
"Pirates of the Caribbean: Dead Man's Chest",2006,"Action,Adventure,Fantasy",225000000,1066179725,423315812,135634554
"The Dark Knight",2008,"Action,Crime,Drama",185000000,1004558444,533316061,158411483
"Iron Man",2008,"Action,Adventure,Sci-Fi",140000000,585796247,318604126,98618668
"Gladiator",2000,"Action,Adventure,Drama",103000000,460583960,187768035,34820000
"Spider-Man",2002,"Action,Adventure,Sci-Fi",139000000,821708551,403706375,114844116
"Spider-Man 2",2004,"Action,Adventure,Sci-Fi",200000000,788976453,373585825,88156227
"Finding Nemo",2003,"Animation,Adventure,Comedy",94000000,940335536,380843261,70251710
"Shrek 2",2004,"Animation,Adventure,Comedy",150000000,928760770,441226247,108037878
"The Incredibles",2004,"Animation,Action,Adventure",92000000,631606782,261441092,70467623
"Cars",2006,"Animation,Adventure,Comedy",120000000,461983149,244082982,60119509
"Ratatouille",2007,"Animation,Comedy,Family",150000000,620705636,206445654,47027395
"WALL-E",2008,"Animation,Adventure,Family",180000000,521311860,223808164,63087526
"Up",2009,"Animation,Adventure,Comedy",175000000,735099082,293004164,68108790
"Brave",2012,"Animation,Adventure,Comedy",185000000,540437063,237283207,66323594
"Coco",2017,"Animation,Adventure,Family",175000000,807082196,209726015,50802605
"Soul",2020,"Animation,Adventure,Comedy",150000000,121072613,0,0
"Luca",2021,"Animation,Adventure,Comedy",50000000,49880000,0,0
"Turning Red",2022,"Animation,Adventure,Comedy",175000000,19512552,0,0
"Lightyear",2022,"Animation,Action,Adventure",200000000,226435305,118307715,51805419
"Encanto",2021,"Animation,Adventure,Comedy",150000000,256786742,96530082,40613600
"The Matrix Reloaded",2003,"Action,Sci-Fi",150000000,741847937,281576461,91774413
"Catch Me If You Can",2002,"Biography,Crime,Drama",52000000,352114312,164615351,30053627
"The Departed",2006,"Crime,Drama,Thriller",90000000,291465034,132384315,26887467
"No Country for Old Men",2007,"Crime,Drama,Thriller",25000000,171627166,74283625,1201694
"There Will Be Blood",2007,"Drama",25000000,76181286,40222514,185000
"Slumdog Millionaire",2008,"Drama,Romance",15000000,377910544,141319928,360018
"The Social Network",2010,"Biography,Drama",40000000,224920315,96962694,22445653
"Django Unchained",2012,"Drama,Western",100000000,425368238,162805434,30122888
"12 Years a Slave",2013,"Biography,Drama,History",20000000,187733202,56671993,923715
"Birdman",2014,"Comedy,Drama",18000000,103215094,42340598,424397
"Spotlight",2015,"Biography,Crime,Drama",20000000,98690254,45055776,295009
"Moonlight",2016,"Drama",4000000,65046687,27854932,414740
"The Shape of Water",2017,"Adventure,Drama,Fantasy",19400000,195243464,63859435,166865
"Green Book",2018,"Biography,Comedy,Drama",23000000,321750765,85080171,321543
"Tenet",2020,"Action,Sci-Fi,Thriller",200000000,365344939,58456624,20200000
"The Whale",2022,"Drama",3000000,54815075,54807742,360000
